play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
36,2010010901,CIN,NYJ,CIN,home,NYJ,NYJ,30.0,2010-01-09 00:00:01,900,1800,3600,Half1,0,1,0,1,0.0,0.0,15:00,NYJ 30,0,10,J.Feely kicks 62 yards from NYJ 30 to CIN 8. B.Scott to NYJ 36 for 56 yards (W.Wright). CIN-R.Jeanty was injured during the play.,kickoff,0,0,0,0.0,0,0,0,,,0.0,0.0,,,,62.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015063265025897466,0.1797487862643072,0.006639108378448643,0.28113770607073496,0.2137001434842492,0.0035923127788396844,0.3136756165208305,0.0,0.0,0.32352585361127617,3.4307095014719886,3.4307095014719886,-3.4307095014719886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,B.Scott,00-0026941,,,,,J.Feely,00-0019770,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,NYJ,,00-0024171,,W.Wright,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,CIN,56,,,,0.0,0,,,0.0,0.0,0.0,0.0
61,2010010901,CIN,NYJ,CIN,home,NYJ,NYJ,36.0,2010-01-09 00:00:01,891,1791,3591,Half1,0,1,0,1,1.0,0.0,14:51,NYJ 36,10,6,(14:51) C.Benson right guard to NYJ 30 for 6 yards (S.Ellis).,run,6,0,0,0.0,0,0,0,,,0.0,0.0,right,guard,,0.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005327937775348083,0.05718321738236457,0.00014795986562430362,0.08883179234674264,0.3522868996185633,0.0032157169062154204,0.497801620102955,0.0,0.0,3.7542353550832654,0.11188304825614903,3.5425925497281376,-3.5425925497281376,0.11188304825614903,-0.11188304825614903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592902733321233,0.40709726667876706,0.592902733321233,0.40709726667876706,0.006045008732305179,0.5989477420535382,0.4010522579464618,0.006045008732305179,-0.006045008732305179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,00-0023439,C.Benson,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,NYJ,,00-0019545,,S.Ellis,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0,,,,0.0,0,,,0.0,0.0,0.0,0.0
82,2010010901,CIN,NYJ,CIN,home,NYJ,NYJ,30.0,2010-01-09 00:00:01,853,1753,3553,Half1,0,1,0,1,2.0,0.0,14:13,NYJ 30,4,6,(14:13) C.Palmer pass incomplete short right to L.Coles.,pass,0,0,0,1.0,0,0,0,short,right,5.0,0.0,,,,0.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000553558618023033,0.0502578507958407,0.0001491916397722191,0.07782962980445236,0.3802053106787728,0.0031298787281288285,0.4878745797350101,0.0,0.0,3.8661184033394136,-0.7053890767625717,2.8372034729655664,-2.8372034729655664,0.11188304825614903,-0.11188304825614903,-0.7053890767625717,0.7053890767625717,0.7508670026950814,-1.4562560794576531,0.0,0.0,0.0,0.0,0.0,0.0,0.7508670026950814,-0.7508670026950814,-1.4562560794576531,1.4562560794576531,0.5989477420535382,0.4010522579464618,0.5989477420535382,0.4010522579464618,-0.03907139110077562,0.5598763509527626,0.44012364904723744,0.006045008732305179,-0.006045008732305179,-0.03907139110077562,0.03907139110077562,0.02636905747664431,-0.06544044857741993,0.0,0.0,0.0,0.0,0.0,0.0,0.02636905747664431,-0.02636905747664431,-0.06544044857741993,0.06544044857741993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0021429,C.Palmer,00-0018958,L.Coles,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0,,,,0.0,0,,,0.0,0.0,0.0,0.0
104,2010010901,CIN,NYJ,CIN,home,NYJ,NYJ,30.0,2010-01-09 00:00:01,848,1748,3548,Half1,0,1,0,1,3.0,0.0,14:08,NYJ 30,4,10,"(14:08) (Shotgun) C.Palmer pass short middle to L.Coles to NYJ 26 for 4 yards (B.Thomas). FUMBLES (B.Thomas), RECOVERED by NYJ-S.Ellis at NYJ 26. S.Ellis to NYJ 26 for no gain (D.Roland). Cincinnati challenged the pass completion ruling, and the play was Upheld. (Timeout #1 at 14:01.)",pass,4,1,0,1.0,0,0,0,short,middle,4.0,0.0,,,,0.0,,,2,3,1.0,CIN,,2.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006356003247103901,0.062440344512747624,0.0002672443781140374,0.1003900223444033,0.4460487395714056,0.003671511102482737,0.3865465377661364,0.0,0.0,3.1607293265768424,-4.0898472204260266,-1.2526437474604617,1.2526437474604617,0.11188304825614903,-0.11188304825614903,-4.795236297188598,4.795236297188598,-4.0898472204260266,0.0,-4.0898472204260266,0.0,-4.0898472204260266,4.0898472204260266,0.0,0.0,-3.3389802177309464,3.3389802177309464,-1.4562560794576531,1.4562560794576531,0.5598763509527626,0.44012364904723744,0.5598763509527626,0.44012364904723744,-0.08138110283375832,0.4784952481190042,0.5215047518809958,0.006045008732305179,-0.006045008732305179,-0.12045249393453394,0.12045249393453394,-0.08138110283375832,0.0,-0.08138110283375832,0.0,-0.08138110283375832,0.08138110283375832,0.0,0.0,-0.05501204535711402,0.05501204535711402,-0.06544044857741993,0.06544044857741993,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,00-0021429,C.Palmer,00-0018958,L.Coles,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,NYJ,00-0021081,B.Thomas,0.0,0.0,0.0,NYJ,CIN,00-0021081,00-0023920,B.Thomas,D.Roland,,,,,,,,,,,,,,,,,CIN,00-0018958,L.Coles,0.0,0.0,0.0,NYJ,0.0,00-0019545,S.Ellis,0.0,0.0,0.0,0.0,,0,,,,0.0,1,upheld,,0.0,0.0,0.0,0.0
166,2010010901,CIN,NYJ,NYJ,away,CIN,NYJ,74.0,2010-01-09 00:00:01,841,1741,3541,Half1,0,2,0,1,1.0,0.0,14:01,NYJ 26,10,0,(14:01) T.Jones right tackle to NYJ 26 for no gain (J.Fanene).,run,0,0,0,0.0,0,0,0,,,0.0,0.0,right,tackle,,0.0,,,2,3,0.0,,,3.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001707467458416602,0.1588253968838396,0.004079022450008288,0.2476397007616785,0.23718472813649694,0.003653987968787932,0.346909696340772,0.0,0.0,0.9291178938491852,-0.7573608944372631,-0.4952828530231985,0.4952828530231985,0.869243942693412,-0.869243942693412,-4.795236297188598,4.795236297188598,0.0,0.0,0.0,0.0,-4.0898472204260266,4.0898472204260266,0.0,0.0,-3.3389802177309464,3.3389802177309464,-1.4562560794576531,1.4562560794576531,0.5215047518809958,0.4784952481190042,0.4784952481190042,0.5215047518809958,-0.020002815667661374,0.4984980637866656,0.5015019362133344,0.02604782439996656,-0.02604782439996656,-0.12045249393453394,0.12045249393453394,0.0,0.0,0.0,0.0,-0.08138110283375832,0.08138110283375832,0.0,0.0,-0.05501204535711402,0.05501204535711402,-0.06544044857741993,0.06544044857741993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,00-0019641,T.Jones,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,CIN,,00-0023665,,J.Fanene,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0,,,,0.0,0,,,0.0,0.0,0.0,0.0
187,2010010901,CIN,NYJ,NYJ,away,CIN,NYJ,74.0,2010-01-09 00:00:01,803,1703,3503,Half1,0,2,0,1,2.0,0.0,13:23,NYJ 26,10,11,(13:23) M.Sanchez pass short middle to D.Keller to NYJ 37 for 11 yards (K.Rivers).,pass,11,0,0,1.0,0,0,0,short,middle,1.0,10.0,,,,0.0,,,2,3,0.0,,,3.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020441280703353067,0.18436508239148625,0.005304191614335532,0.2878634250540214,0.2181360246133417,0.003982701288436265,0.2983044469680435,0.0,0.0,0.17175699941192235,1.7850897342143799,-2.2803725872375784,2.2803725872375784,0.869243942693412,-0.869243942693412,-6.580326031402979,6.580326031402979,-0.90947408718704,2.6945638214014203,-0.90947408718704,2.6945638214014203,-3.1803731332389877,3.1803731332389877,-2.6945638214014203,2.6945638214014203,-2.4295061305439063,2.4295061305439063,-4.150819900859074,4.150819900859074,0.5015019362133344,0.4984980637866656,0.4984980637866656,0.5015019362133344,0.05484819954698738,0.4436498642396782,0.5563501357603218,0.02604782439996656,-0.02604782439996656,-0.17530069348152133,0.17530069348152133,-0.026293507819301842,0.08114170736628923,-0.026293507819301842,0.08114170736628923,-0.05508759501445648,0.05508759501445648,-0.08114170736628923,0.08114170736628923,-0.02871853753781217,0.02871853753781217,-0.14658215594370916,0.14658215594370916,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00-0026898,M.Sanchez,00-0026170,D.Keller,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,CIN,,00-0026149,,K.Rivers,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0,,,,0.0,0,,,0.0,0.0,0.0,0.0
211,2010010901,CIN,NYJ,NYJ,away,CIN,NYJ,63.0,2010-01-09 00:00:01,763,1663,3463,Half1,0,2,0,1,1.0,0.0,12:43,NYJ 37,10,14,(12:43) T.Jones right tackle to NYJ 40 for 3 yards (Dh.Jones).,run,3,0,0,0.0,0,0,0,,,0.0,0.0,right,tackle,,0.0,,,2,3,0.0,,,3.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018399161464340414,0.12253093808801062,0.0016171833325367884,0.1901787674419156,0.2774147345689076,0.003649628002654936,0.4027688324195406,0.0,0.0,1.9568467336263025,-0.2489237035123661,-2.0314488837252123,2.0314488837252123,1.118167646205778,-1.118167646205778,-6.580326031402979,6.580326031402979,0.0,0.0,0.0,0.0,-3.1803731332389877,3.1803731332389877,-2.6945638214014203,2.6945638214014203,-2.4295061305439063,2.4295061305439063,-4.150819900859074,4.150819900859074,0.5563501357603218,0.4436498642396782,0.4436498642396782,0.5563501357603218,-0.0060049385317650925,0.4496548027714433,0.5503451972285567,0.03205276293173165,-0.03205276293173165,-0.17530069348152133,0.17530069348152133,0.0,0.0,0.0,0.0,-0.05508759501445648,0.05508759501445648,-0.08114170736628923,0.08114170736628923,-0.02871853753781217,0.02871853753781217,-0.14658215594370916,0.14658215594370916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,00-0019641,T.Jones,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,CIN,,00-0019635,,Dh.Jones,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0,,,,0.0,0,,,0.0,0.0,0.0,0.0
232,2010010901,CIN,NYJ,NYJ,away,CIN,NYJ,60.0,2010-01-09 00:00:01,726,1626,3426,Half1,0,2,0,1,2.0,0.0,12:06,NYJ 40,7,13,(12:06) T.Jones left guard to NYJ 39 for -1 yards (D.Peko).,run,-1,0,0,0.0,0,0,0,,,0.0,0.0,left,guard,,0.0,,,2,3,0.0,,,3.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002110785486797875,0.13001303429438074,0.0017939129861124282,0.2014748046500148,0.28015949618636016,0.003948132362802115,0.3804998340335317,0.0,0.0,1.7079230301139363,-1.117361192067371,-0.9140876916578417,0.9140876916578417,2.2355288382731486,-2.2355288382731486,-6.580326031402979,6.580326031402979,0.0,0.0,0.0,0.0,-3.1803731332389877,3.1803731332389877,-2.6945638214014203,2.6945638214014203,-2.4295061305439063,2.4295061305439063,-4.150819900859074,4.150819900859074,0.5503451972285567,0.4496548027714433,0.4496548027714433,0.5503451972285567,-0.03150995664058531,0.4811647594120286,0.5188352405879714,0.06356271957231696,-0.06356271957231696,-0.17530069348152133,0.17530069348152133,0.0,0.0,0.0,0.0,-0.05508759501445648,0.05508759501445648,-0.08114170736628923,0.08114170736628923,-0.02871853753781217,0.02871853753781217,-0.14658215594370916,0.14658215594370916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,00-0019641,T.Jones,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,00-0024338,D.Peko,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,CIN,,00-0024338,,D.Peko,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0,,,,0.0,0,,,0.0,0.0,0.0,0.0
253,2010010901,CIN,NYJ,NYJ,away,CIN,NYJ,61.0,2010-01-09 00:00:01,678,1578,3378,Half1,0,2,0,1,3.0,0.0,11:18,NYJ 39,8,8,"(11:18) (Shotgun) PENALTY on NYJ-B.Smith, Delay of Game, 5 yards, enforced at NYJ 39 - No Play.",no_play,0,1,0,0.0,0,0,0,,,0.0,0.0,,,,0.0,,,2,3,0.0,,,3.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027363781208976875,0.16723411359470866,0.0026923972687513398,0.2603750476358789,0.2562342865876842,0.004704598097652024,0.30602317869442713,0.0,0.0,0.5905618380465654,-0.7668149431749278,-0.14727274848291372,0.14727274848291372,2.2355288382731486,-2.2355288382731486,-6.580326031402979,6.580326031402979,0.0,0.0,0.0,0.0,-3.1803731332389877,3.1803731332389877,-2.6945638214014203,2.6945638214014203,-2.4295061305439063,2.4295061305439063,-4.150819900859074,4.150819900859074,0.5188352405879714,0.4811647594120286,0.4811647594120286,0.5188352405879714,-0.021703434199617618,0.5028681936116463,0.4971318063883538,0.06356271957231696,-0.06356271957231696,-0.17530069348152133,0.17530069348152133,0.0,0.0,0.0,0.0,-0.05508759501445648,0.05508759501445648,-0.08114170736628923,0.08114170736628923,-0.02871853753781217,0.02871853753781217,-0.14658215594370916,0.14658215594370916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0,NYJ,00-0024318,B.Smith,5.0,0,,Delay of Game,0.0,0.0,0.0,0.0
276,2010010901,CIN,NYJ,NYJ,away,CIN,NYJ,66.0,2010-01-09 00:00:01,653,1553,3353,Half1,0,2,0,1,3.0,0.0,10:53,NYJ 34,13,9,"(10:53) M.Sanchez pass short right to B.Smith to NYJ 35 for 1 yard (Dh.Jones, M.Trent).",pass,1,0,0,1.0,0,0,0,short,right,1.0,0.0,,,,0.0,,,2,3,0.0,,,3.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003285688523630577,0.19410040984558213,0.0038855455340264756,0.3028290406186082,0.2281407484055985,0.005021942983595813,0.2627366240889582,0.0,0.0,-0.17625310512836245,-1.4055953362531928,1.258322587770279,-1.258322587770279,2.2355288382731486,-2.2355288382731486,-5.174730695149787,5.174730695149787,-1.4055953362531928,0.0,-1.4055953362531928,0.0,-1.7747777969857947,1.7747777969857947,-2.6945638214014203,2.6945638214014203,-1.0239107942907133,1.0239107942907133,-4.150819900859074,4.150819900859074,0.4971318063883538,0.5028681936116463,0.5028681936116463,0.4971318063883538,-0.04110103814941013,0.5439692317610564,0.4560307682389436,0.06356271957231696,-0.06356271957231696,-0.1341996553321112,0.1341996553321112,-0.04110103814941013,0.0,-0.04110103814941013,0.0,-0.013986556865046351,0.013986556865046351,-0.08114170736628923,0.08114170736628923,0.012382500611597956,-0.012382500611597956,-0.14658215594370916,0.14658215594370916,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,00-0026898,M.Sanchez,00-0024318,B.Smith,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,00-0019635,Dh.Jones,CIN,00-0026928,M.Trent,CIN,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0,,,,0.0,0,,,0.0,0.0,0.0,0.0
